Datum:          Tid:    Beskrivning:
                        
2013-06-11      3h      Gjort färdigt del 3.1.
2013-07-01      2h      Färdig med Introductory Phase
2013-07-06      2h      Parsa punkter från osm till kartan
2013-07-08      3h      Jobbat med parsing av vägar
2013-07-13      2h      Utritning av vägar finns nu, en del noder kommer dock i fel ordning
2013-07-14      2h      Adjency matrisen verkar fungera som den ska
2013-07-14      1h      Implementerat floyd warshall samt lagt till html-formulär för input av koordinater
2013-07-15      7h      Kan nu hämta information från html-formulär, kommenterat och strukturerat kod,
                        hitta närmaste nod ifrån var man klickade samt hitta kortaste mellan två noder man kan välja
